1|2|入库|6|药房管理员02|2026-03-02
2|3|出库|7|药房管理员03|2026-03-03
3|4|入库|8|药房管理员01|2026-03-04
4|5|出库|9|药房管理员02|2026-03-05
5|6|入库|10|药房管理员03|2026-03-06
6|7|出库|11|药房管理员01|2026-03-07
7|8|入库|12|药房管理员02|2026-03-08
8|9|出库|13|药房管理员03|2026-03-09
9|10|入库|14|药房管理员01|2026-03-10
10|11|出库|15|药房管理员02|2026-03-11
11|12|入库|16|药房管理员03|2026-03-12
12|13|出库|17|药房管理员01|2026-03-13
13|14|入库|18|药房管理员02|2026-03-14
14|15|出库|19|药房管理员03|2026-03-15
15|16|入库|20|药房管理员01|2026-03-16
16|17|出库|21|药房管理员02|2026-03-17
17|18|入库|22|药房管理员03|2026-03-18
18|19|出库|23|药房管理员01|2026-03-19
19|20|入库|24|药房管理员02|2026-03-20
20|1|出库|25|药房管理员03|2026-03-21
21|2|入库|26|药房管理员01|2026-03-22
22|3|出库|27|药房管理员02|2026-03-23
23|4|入库|28|药房管理员03|2026-03-24
24|5|出库|29|药房管理员01|2026-03-25
25|6|入库|30|药房管理员02|2026-03-26
26|7|出库|31|药房管理员03|2026-03-27
27|8|入库|32|药房管理员01|2026-03-28
28|9|出库|33|药房管理员02|2026-03-01
29|10|入库|34|药房管理员03|2026-03-02
30|11|出库|35|药房管理员01|2026-03-03
